relpath	family	optype	label	topic	text
CHOP/timerCHOP/example23	CHOP	timerCHOP	Timer	sequence channels	"""""""This takes a set of animation clips that can be sequenced end-to-end, with the second clip optionally looping. It can be one animation that is cut into three or more parts. This example doesn't do blending. The """"""""chop"""""""" column sets which CHOP to select from, and its Lookup CHOP gets its index from the """"""""timer_fraction"""""""" channel. Click """"""""End Segment at End of Cycle"""""""" while it's looping to cleanly go to the next segment."""""""
CHOP/timerCHOP/example24	CHOP	timerCHOP	Timer	run delayed + check	When clicking Start, this waits a frame (Delay parameter = 1 frame), runs a command, then optionally checks on subsequent frames for a desired condition. This is an alternative to running the run(cmd, 'delayFrames=1) and writing a python script to loop one or more frames to wait until a condition is satisfied. It is set to time out after 10 frames with the Cycle parameters.
CHOP/timerCHOP/example25	CHOP	timerCHOP	Timer	infinite timer	To run a timer without end, change the Length Type menu from its default value Fixed to Infinite. Once you start, timer_seconds, master_seconds and running_seconds will endlessly rise, as if the length was infinite. timer_fraction will remain at 0. The channels ready and running will behave like they do when Length Type is Fixed. You can pulse Go to Done, and the *_seconds channels will freeze at their current value. Segments do not apply in Infinite mode, and the Segments page is disabled. The Delay parameter works in Infinite mode. If Speed is below 1, or Play is off, it will slow down timer_seconds and cumulative_seconds, according to their normal rules.
CHOP/timerCHOP/example26	CHOP	timerCHOP	Timer	subrange looping	Show the Textport. Press Start on the timer. It prints the segments it is starting and the segment's length. This will run the sequence, and stop once it's done. Then turn on Sub Range. onSubrangeStart() is called every time it loops. scrubbable with slider1
CHOP/timerCHOP/example27	CHOP	timerCHOP	Timer	timecode generator	Adjust the Seconds parameter on the pars COMP. info1 displays the seconds value as timecode, both count-up and count-down. With any CHOP containing a channel that is expressing time in seconds or frames or fraction of a Length, you can pass the channel to the Timer CHOP whose Time Control parameter is set to External CHOP Channel. Then you get the timecodes in an Info DAT table. To use the Frames parameter instead, change timer1's External Units parameter to Frames, and the External Channel parameter to 'Frames'. This will pick up the 'Frames' channel of par1. Now you can adjust the Frames parameter of the pars component. Same idea with Fraction. it’s a 2-node timecode generator. But text2 shows that you don't need the Info DAT for count-up. Note: The Timer CHOP's Length parameter is set to 1000 seconds. To change it you have to change Time Control to Sequential, change the Length, Initialize, the go back to External Time Control. Or if count-down is not needed, change Length Type to Infinite.
CHOP/timesliceCHOP/example1	CHOP	timesliceCHOP	Time Slice	analysis	"""""""Move the slider and see the Trail CHOP. Now un-bypass the Hog CHOP above. Now TouchDesigener is skipping most frames. When you move the slider, the slider values are stepping too, as you see with channel v1 in the Trail CHOP. But the Time Slice CHOP figures out the in-between values and passes all those samples to its output. The third channel shows which frames were cooked (1) and which frames were mossed (0). See also: the wiki page """"""""Time Slicing"""""""". the training video """"""""Time Slicing Vid"""""""""""""""
CHOP/timesliceCHOP/example2	CHOP	timesliceCHOP	Time Slice	interpolations	With the Hog CHOP un-bypassed, TouchDesigener is skipping most frames. This shows the three ways the Time Slice CHOP deals with its input, which is a 2-second smooth-noise and Extend Conditions set to mirror outside its 2-second range. Each time the Time Slice CHOP cooks, it samples one value of the input CHOP and holds that value for the entire CHOP. In teh second case, it linearly interpolates from one frame to the next. In the third case, it extracts multi-samples from the input.
CHOP/timesliceCHOP/example3	CHOP	timesliceCHOP	Time Slice	single sample to time slice	The first 2 CHOPs simulates a case where you get only one new sample every time a CHOP cooks, or an input device is read. An example is getting data from a Kinect or a Leap Motion device, you are taking camera input into CHOPs via a TOP to CHOP. Without a Time Slice CHOP set to Linear the values step from one time slice to the next. The Time SLice CHOP can smooth that. The Filter CHOP smooths it a bit further, though making it a bit mose sluggish.
CHOP/toptoCHOP/example1	CHOP	toptoCHOP	TOP to	single pixel	You can get the RGBA values of a single pixel. Adjust U Start and V Start parameters.
CHOP/toptoCHOP/example2	CHOP	toptoCHOP	TOP to	column	Here we have the RGBA values of the middle column of the image.
CHOP/toptoCHOP/example3	CHOP	toptoCHOP	TOP to	row	Here we have the RGBA values of a full row of the image. In the case where you want the values to be between 0 and 255, the second CHOP sets the RGBA Units parameter.
CHOP/toptoCHOP/example4	CHOP	toptoCHOP	TOP to	color picker	This is a basic example of how you could make your own color picker, using the u and v of a Panel CHOP as co-ordinates to analyze.
CHOP/toptoCHOP/example5	CHOP	toptoCHOP	TOP to	point cloud	This takes all valid points of a point cloud in a TOP and converts to CHOP channels. On the TOP to CHOP, you have to turn on Output as Single Channel Set, then set Crop to be Full Image. In topto2 you see the lingering unused pixels at the end with alpha 0, representing the orange pixels at the top of pointfilein1, which are unused pixels of the point cloud. To eliminate them, topto2 has Active Channel set to Alpha, which strips those off. Also in the point cloud TOPs, the unused pixels may have NaN (not a number, a very high floating point number) in the RGB values. If you want to strip these out too, turn on the Exclude NaNs parameter.
CHOP/toptoCHOP/example6	CHOP	toptoCHOP	TOP to	specific rows/columns	If you want to sample the image with a specific number of rows and columns, you should use the Resolution TOP to scale down and get the exact number of rows and columns, and then TOP to CHOP the entire image. For more flexibility if re-shaping the image, you can preceed it with a Transform TOP. You then need to choose whether you want to average pixels when scaling down, or just sample the nearest pixel, which will give you more contrast. To see exactly what your TOP to CHOP gives you, make the Viewer Smoothness be Nearest Pixel. That doesn't change the output, it only makes what you see in the viewer image more precise.
CHOP/touchinCHOP/example1	CHOP	touchinCHOP	Touch In	link	The Touch Out CHOP can be used to create high speed connection between two TouchDesigner processes. Data is sent over TCP/IP or UDP. The Touch Out CHOP (server) sends its data to a Touch In CHOP (client). Unbypass touchout1 and touchin1 and touchin2. NOTE for Windows OS - If experiencing connection issues make sure Windows Firewall is disabled. (same snippet for Touch In CHOP)
CHOP/touchoutCHOP/example1	CHOP	touchoutCHOP	Touch Out	Multiple clients	The Touch Out CHOP can be used to create high speed connection between two TouchDesigner processes. Data is sent over TCP/IP or UDP. The Touch Out CHOP (server) sends its data to a Touch In CHOP (client). Unbypass touchout1 and touchin1 and touchin2. NOTE for Windows OS - If experiencing connection issues make sure Windows Firewall is disabled. (same snippet for Touch In CHOP)
CHOP/trailCHOP/example1	CHOP	trailCHOP	Trail	trail types	These examples show the different lengths of trails for the same input
CHOP/trailCHOP/example2	CHOP	trailCHOP	Trail	trail range	The Trail CHOP trail1 is forced to display in the range 0 to 1: turn on its Viewer Active, right-click -> Vertical Adapt -> 0 to 1 or one of the other ranges, or make your own range.
CHOP/trailCHOP/example3	CHOP	trailCHOP	Trail	trail dots	The Trail CHOP displays a dot at each sample. You need to stretch the CHOP tile or reduce the range of the Trail before the dots appear sine htey are normally too close to eadh other. turn on its Viewer Active, then right-click -> Dots
CHOP/trailCHOP/example4	CHOP	trailCHOP	Trail	trail multigraph	The Trail CHOP is set to display multiple graphs: turn on its Viewer Active, right-click -> Graph Per Single Channel and set Number of Graphs. When channels have very different ranges, it is better to display them in separate graphs.
CHOP/trailCHOP/example5	CHOP	trailCHOP	Trail	trail while operating slider	"""""""Sometimes you may want to capture something in a Trail CHOP and freeze it to examine or use later. This activates the Trail CHOP only while a slider is active. The """"""""select"""""""" channel goes on while you are clicking on a slider. (try the rollover panel value in the Panel CHOP as an alternative.) You can also clear out the Trail channels by exporting the Panel CHOP to the Reset Pulse button on the Trail CHOP."""""""
CHOP/transformCHOP/example1	CHOP	transformCHOP	Transform	transform to geo	"""""""The Transform CHOP has translate/rotate/scale parameters like all 3D objects, but it outputs a set of channels that can be passed to any of the 3D objects. (this form to-be-implemented shortly) By default it outputs the transform as tx ty tx and scale, plus """"""""euler angles"""""""" rx ry rz which is a way of representation rotations. transform2 has the output set to 16 channels that represent the 4x4 matrix describing the same transform, which can be fed to geo2. On the Geometry COMP's Pre-Xform page you need to turn on Apply Pre-Transform, then put the path of the CHOP containing the transform into the parameter Xform /CHOP/DAT. geo3 shows it getting from a DAT whose cells are the same as transform2's channels arranged in columns. transform3 outputs the transform as an XYZ position plus a 4-channel quaternion, along with scale and the xord transform order channel."""""""
CHOP/transformCHOP/example2	CHOP	transformCHOP	Transform	transform order	"""""""In transform2, the translate and rotate channels that are output depend on what is called """"""""transform order"""""""" and """"""""rotate order"""""""". That is, the tx ty tz rz ry rz sx sy sz numbers depend on if you apply them in the order translates, then rotates, then scales, if you do the rotates in the order rotate around the X axis, then Y axis then the Z axis. The order that is assumed is determined by the xord and rord channels. 0 0 is the default, and the integers in these channels is the index of the selected menu item in the Transform Order parameter and the Rotate Order parameter. transform4 has different Transform Order and Rotate Order than transform2 on their Output pages. When you change those menus to anything else, they apply the same transform on the objects, as you see in geo1 and geo2. This is evident when you convert the output to a 4x4 matrix: The 4x4 matrix (transform3_4x4 and transform5_4x4) remains the same when you change transform2 and transform4's transform orders."""""""
CHOP/transformCHOP/example3	CHOP	transformCHOP	Transform	inverse matrix	"""""""The """"""""inverse"""""""" of a transform does the opposite of a transform. If a transform takes an object from the origin to a new postion/rotation/scale, then the inverse of that transform will take an object at that new position/rotation/scale back to the origin with no rotation/scale. So if you multiply a transform by its inverse, you will get back the default """"""""identity"""""""" matrix."""""""
CHOP/transformCHOP/example4	CHOP	transformCHOP	Transform	transform input	"""""""THis takes a transform and applies a further transform to it. transform1 scales by .7, then rotates in Z by 45 degrees, then moves in X by 3. transform2 and transform4 both move in Y by 3, but they differ in their Multiply Order parameter. transform2, whose Multiply Order is set to """"""""Input, then Transform Page"""""""" does the input's transform first, then applies the transform of the Transform Page. transform4, set to """"""""Transform Page, then Input"""""""" does the transform of the Transform Page, then the input transform from tranform1. How you get the 3D background grids is by making Viewer Active, right-clicking on the viewer, selecting Display Options, and choosing the middle grid on the bottom, giving an XY grid. Side note for your education: https://www.enviral-design.com/matrices-are-hard/"""""""
CHOP/transformCHOP/example6	CHOP	transformCHOP	Transform	multiple channel sets	Two 4x4 transforms in rename1 and rename2 are merged as 32 channels named left* and right*, and then transformed again as two 180 rotations, and displaying in geo3 and geo4. In transform3, each set of legal channel suffixes (m00, m01...) that have a unique prefix (left, right) are treated as separate transforms that get affected separately. select1 and select2 pull them apart for display. Then join3 combines them another way: as a 2-sample CHOP with 16 channels. Again these can be transformed as 2 sets of transforms. In this case the resulting 2-sample CHOP is used to instance two toruses on geo5.
CHOP/transformCHOP/example7	CHOP	transformCHOP	Transform	multiple channel sets better	3 transforms are in set1 to set3. The Join CHOP puts them together as 3 samples of 16 transform channels. transform1 does a 180 degree rotation on all 3 of them, and outputs them in translate/rotate/scale format. geo1 instances them. select_sets merges them using set* pattern matching of node names (could have used set[1-3]). transform2 also does the 180 rotation on all sets. select_set1 to select_set3 pulls them apart using pattern matching: see the expression in the Channel Names parameter. g1 to g3 are copies of each other - see their expression in the parameter Xform Matrix/CHOP/DAT.
CHOP/transformCHOP/example8	CHOP	transformCHOP	Transform	quaternion rotation	work-in-progress pending transform interpolation feature.
CHOP/transformCHOP/example9	CHOP	transformCHOP	Transform	polar to cartesian flight path	This converts from Polar (radius/lat/long) to Cartesian (rectangular orthogonal xyz) coordinates. This example represents the approx latitude-longitude of Toronto, Canada. You represent your polar coordinate in any way you want. Here, starting from the origin, you start with a point on the x axis at x=2 assuming your radius is a sphere of size 2. Then you rotate in z (latitude) to bring it up to 45 degrees (using the right-hand rule with thumb pointing along +z axis). Then you rotate in y (longitude) -73 degrees. You pass that to the Transform TOPs and you have to set their implied transform order to Translate Rotate Scale (as you did above), and your rotate order to Rz Ry Rx. On the Output page you indicate you want to output the Position. The bottom gives the flight path from YYZ to Narita. I gets the xyz of each, interpolates 20 points which give a straight line through the earth, pushes those points to radius 1, then raises the points while in flight.
CHOP/transformxyzCHOP/example1	CHOP	transformxyzCHOP	Transform XYZ	rotate a vector	The Transform XYZ CHOP is used to transform positions and vectors. The difference between transforming a position vs. a vector is that a vector won't have the translation portion of the transformation applied to it. The Transform XYZ CHOP first groups the channels from the first input by looking for 'x', 'y' and 'z' as the last character in the channel names. Then it treats each of the sets created as either a Position or a Vector depending on the parameter choice. Here we rotate a vector in CHOP channels - visualized by pink vectors in the Geo COMPs (using a Line MAT which has vector output enabled).
CHOP/transformxyzCHOP/example2	CHOP	transformxyzCHOP	Transform XYZ	transform many vectors	The Transform XYZ CHOP is used to transform positions and vectors. The difference between transforming a position vs. a vector is that a vector won't have the translation portion of the transformation applied to it. The Transform XYZ CHOP first groups the channels from the first input by looking for 'x', 'y' and 'z' as the last character in the channel names. Then it treats each of the sets created as either a Position or a Vector depending on the parameter choice. CHOPs with multiple-samples can be provided - in this snippet we rotate the 1522 Normal vectors of a sphere (the normals are indicated by the blue lines in the SOPs).
CHOP/transformxyzCHOP/example3	CHOP	transformxyzCHOP	Transform XYZ	transform positions	Here the Transform XYZ CHOP is used to transform positions. The Transform XYZ CHOP first groups the channels from the first input by looking for 'x', 'y' and 'z' as the last character in the channel names. Using the Splice CHOP, it's easy to transform only a selection of position samples of a CHOP.
CHOP/triggerCHOP/example1	CHOP	triggerCHOP	Trigger	basic ADSR	basic triggering setup to generate an attack, delay, sustain, release envelope. Click button1 quickly to see the minimum envelope. Click and hold botton1 for a second or more to to see the effect of the sustain. Make the Lengths longer and shorter, and try different Attack Shape, Decay Shape and Release Shapes. Increasing the Delay Length will cause the full envelope to start later.
CHOP/triggerCHOP/example2	CHOP	triggerCHOP	Trigger	complete waveform	You can get a complete waveform by turning off the Time Slice parameter on the Common page. One form is a controllable linear rise time, hold time, fall time. There are other CHOPs that can behave in dual fashion - as a full envelope or as a single-sample current value: Noise CHOP, For more elaborate shapes you can use the Keyframe CHOP inside an Animation Component.
CHOP/triggerCHOP/example3	CHOP	triggerCHOP	Trigger	extend pulse	"""""""You can use Trigger to extend the length of time a channel stays on. You usually don't need logic1 because CHOPs are """"""""on"""""""" while the value is above zero. You can follow it with a CHOP Execute DAT taht triggers when onToOff."""""""
CHOP/triggerCHOP/example4	CHOP	triggerCHOP	Trigger	delay and fixed length	You can delay a starting pulse, and then make sure the trigger stays on an exact number of seconds, no matter how long the input stays on. You adjust the Delay Length parameter and the Peak Length parameter.
CHOP/triggerCHOP/example5	CHOP	triggerCHOP	Trigger	trigger after a time threshold	"""""""For triggering with jittery inputs. This will trigger only if the noise1 CHOP has been on for .3 seconds or longer. """"""""On"""""""" in CHOPs means a value that is greater than 0. Two ways are illustrated: noise1 + count1 + trigger1 (preferred). And noise1 + logic1 + speed1 + trigger2. noise1 is varying around 0. The Count CHOP is set to 0 when its input is 0 or less. When it's above 1, it is counting time (While On parameter). The Trigger CHOP's Trigger Threshold parameter is is set to .3. The trigger happens when the Count CHOP reaches .3 (seconds). Logic/Speed operate similarly. When logic1 == 1. speed1 counts seconds."""""""
CHOP/triggerCHOP/example6	CHOP	triggerCHOP	Trigger	when mostly on	For triggering with jittery inputs: This will trigger if the input has been on more often than it's been off. Speed is counting seconds, and Trigger's Threshold is is set to .3.
CHOP/triggerCHOP/example7	CHOP	triggerCHOP	Trigger	other triggers	other forms of triggering without the Trigger CHOP
CHOP/trimCHOP/example1	CHOP	trimCHOP	Trim	trim1	Trim a 10-second CHOP down to 3 seconds (600 frames down to 120, and 600 samples down to 120). The graphs have been set to display sample number on X. The result starts at sample index 120 (frame 121). The Shift CHOP shifts it to sample index 0.
CHOP/trimCHOP/example2	CHOP	trimCHOP	Trim	trim2	Take a time-sliced CHOP which would be 1 or more frames, and trim it to be one frame long, the most recent frame. To see this, make the Hog CHOP Active. By trimming like this, the CHOP becomes non-time-sliced, which you can see by middle-clicking on the operators.
CHOP/warpCHOP/example1	CHOP	warpCHOP	Warp	speed up and slow down animation	The Warp CHOP time-warps the channels of the first input (the Pre-Warp Channels) using one warping channel in the second input (the Warp Curve). Feeding the Warp CHOP a Warp Curve with a constant value of 1 makes the output identical to the Pre-Warp Channels, assuming the two inputs have the same start-end interval. That is, where the rate is 1, the Pre-Warp Channels are not warped. Where the Warp Curve is above 1, it causes a speed-up in the animation. Where the Warp Curve is below 1, it causes a slow-down in the animation. (the range of pattern2 here is .5 to 3.)
CHOP/warpCHOP/example2	CHOP	warpCHOP	Warp	Index control method	"""""""The Warp CHOP time-warps the channels of the first input (the Pre-Warp Channels) using one warping channel in the second input (the Warp Curve). In this snippet the Warp CHOP's method is set to """"""""Index Control"""""""". Now the Warp Curve acts as an index into the first input. If the Warp Curve is a straight ramp with a slope of 1 (in Units), it produces unwarped output channels. Note that it treats pattern2 as seconds (0 to 16.66 seconds) and mattern1, converted to seconds is 16.66 seconds."""""""
CHOP/warpCHOP/example3	CHOP	warpCHOP	Warp	reverse animation	The Warp CHOP time-warps the channels of the first input (the Pre-Warp Channels) using one warping channel in the second input (the Warp Curve). Feeding the Warp CHOP a Warp Curve with a constant value of 1 makes the output identical to the Pre-Warp Channels, assuming the two inputs have the same start-end interval. That is, where the rate is 1, the Pre-Warp Channels are not warped. Where the Warp Curve is above 1, it causes a speed-up in the animation. Where the Warp Curve is below 1, it causes a slow-down in the animation. And in this example shown that if warp curve is below zero, it makes the input channel go in reverse.
CHOP/waveCHOP/example1	CHOP	waveCHOP	Wave	lookup Wave	Use slider to scrub through Wave CHOP. Recommended to use the Pattern CHOP as it deals with curves as samples better.
CHOP/waveCHOP/example2	CHOP	waveCHOP	Wave	single wave	single-cycle waves, some are repeating, some not. all are 600 samples long which become 10 seconds since the sample rate is 60 set to samples/sec. Recommended to use the Pattern CHOP.
CHOP/waveCHOP/example3	CHOP	waveCHOP	Wave	easeinout	ease-in and ease-out with a Hold extend condition at the start-end. It is often used as a lookup table. And when you use the easeinout for both the lookup table and index, you get tighter and tighter rises, keeping the slopes smooth. Recommended to use the Pattern CHOP
COMP/animationCOMP/example1	COMP	animationCOMP	Animation	animation	work-in-progress
COMP/annotateCOMP/example1	COMP	annotateCOMP	Annotate	viewers	alt-box-select to make an Annotate. click-drag title to move double-click title to edit title and body text click elsewhere to lock the annotate. box-select the annotate to make it current and see its parameters. make the Forest background cover the title with the Cover Body and Title toggle par. on Monitors, shape the DAT to your liking with the Size/Aspect toggle and size. The size renders it as if a floating viewer was that size. Annotate is a COMP, but not a panel, but it does contain panels which you can access via the path bar.
COMP/baseCOMP/example1	COMP	baseCOMP	Base	pull based cooking	"""""""TouchDesigner is a """"""""pull system"""""""". A common misconception with cooking in TouchDesigner is that cooking starts upstream and moves downstream. This is incorrect. Almost all operators will only cook when something is interested in their data. This example shows this behavior, and how you can use it to heavily optimize your networks. - Notice the Info CHOPs showing when children nodes in a Base COMP are cooking. When output from a base is not requested, all cooking of all children in that Base COMP stops (except when data is forced out like with an Audio Device Out CHOP). - Looking at the wires from the Base COMPs to the Switch TOP, notice how only the wire from the Base COMP which output is requested is animated, which means that content is cooking. The other 2 wires are static which indicates nothing is cooking inside them. Now activate the viewer pane of Base3 (top left circle icon on Base3 node). Notice how Base3 now keeps cooking - this is because you are requesting output by viewing its contents."""""""
COMP/blendCOMP/example1	COMP	blendCOMP	Blend	weighted blend	"""""""In this example, the blend objects; blend2 and blend3, are using a type (mode) of """"""""blend"""""""" which means each transform may be blended using a blend weight. Use switch1 to choose between blending between each input in sequence or blending randomly between two randomly selected inputs. The 9 blend mask parameters can be individually toggled to remove specified tranform components from being passed along -ie only pass through translations or scales etc."""""""
COMP/blendCOMP/example2	COMP	blendCOMP	Blend	sequence blend	"""""""In this example, the blend objects; blend2 and blend3, are using a type (mode) of """"""""sequence"""""""" which means a floating point number between 0 and 3 is used to indicate which input to blend to. The 9 blend mask parameters can be individually toggled to remove specified tranform components from being passed along -ie only pass through translations or scales etc."""""""
COMP/boneCOMP/example1	COMP	boneCOMP	Bone	basic bone	"""""""In this example: a simple 4 bone rig is constructed inside the boneChain0 object. To view the boneChain in a floating window right click on the boneChain0 component and click the """"""""View... menu item. For more information reference the help dat found in boneChain0 object."""""""
COMP/boneCOMP/example2	COMP	boneCOMP	Bone	spider	to come
COMP/bulletsolverCOMP/example1	COMP	bulletsolverCOMP	Bullet Solver	bouncing	A simple example to demonstrate collision between two Actor COMPs. Ball is a dynamic Actor COMP and Floor is a static Actor COMP (infinite mass). Ball will simply fall on Floor due to the gravity applied via the Bullet Solver COMP. In order to start the simulation click the Start Sim pulse on the Bullet Solver COMP. Restitution is how much energy is conserved when a collision occurs. Ball and Floor both have restitution set to 1, so in this case Ball will bounce away at the same speed. Note: restitution is multiplicative between the two colliding objects, so if Floor's restitution is 0 then the Ball will not bounce at all. You can attach an Info CHOP to monitor timing.
COMP/bulletsolverCOMP/example2	COMP	bulletsolverCOMP	Bullet Solver	friction	actor* are laid out in a grid with different combinations of rolling friction and friction. Note: Play with the friction/rolling friction parameters on the floor COMP to get varying results.
COMP/bulletsolverCOMP/example3	COMP	bulletsolverCOMP	Bullet Solver	instancing	This demonstrates Actor COMP instancing. Each instance is a separate entity to bullet. Hit the Start pulse on the Bullet Solver COMP to start the simulation. The Bullet Solver COMP has two Actor COMPs inside: Blocks and Floor, and the solver's Actors parameter './*' points to the two COMPs. Blocks are instanced from the Box SOP to build a 4x12x4 grid og blocks from an individual block. The Blocks COMP is then translated 10 units up so that it will fall on the Floor. The force being applied is from the gravity parameter on the Bullet Solver COMP. Friction parameters are at 1 for both the Blocks and the Floor so that the Blocks don't slide around. Note: if you change the node that an Actor COMP is instancing from (the Box SOP here) you will need to pulse its Initialize Actor parameter to update from your changes.
COMP/bulletsolverCOMP/example4	COMP	bulletsolverCOMP	Bullet Solver	impulse forces	A slight variation on the instancing Snippet. This example demonstrates the use of the Impulse Force COMP. First pulse Start on bsolver1. The only force in this simulation is the Impulse Force COMP in bsolver1: impulseforce1. There is no gravity. impulseforce1 will be applied to all the Blocks once pulsed. This can be done either on the node or through the Pulse Force button. Note: Continuous Collision Detection is toggled on the Blocks so the high velocity from the impulse force doesn't clip them through the Floor.
COMP/bulletsolverCOMP/example5	COMP	bulletsolverCOMP	Bullet Solver	forces	A slight variation on the instancing Snippet. This example demonstrates the use of the Force COMP. In addition to gravity being applied, there is a force being applied to each block using a Force COMP: force1 in bsolver1. force1 applies both rotational force (torque) and linear force. The force from force1 is applied continuously each frame unless deactivated, which can be done with the Force button.
COMP/bulletsolverCOMP/example6	COMP	bulletsolverCOMP	Bullet Solver	bridge	This example demonstrates the Constraint COMP, specifically hinges. In this simulation there are 5 blocks that are instanced on the Blocks Actor COMP, and a Ball Actor COMP, all inside bsolver1. The Ball simply falls on the bridge in this simulation, and because of the constraints put in place, the bridge will hold the ball up. The bridge is created from the 5 blocks using the Constraint COMP to create hinges. Note that they must be hinges in this case because we only want the Blocks to rotate around the Z axis. If it were a point to point constraint then they could rotate along any axis and as a result the ball would fall off. constraints_between is used to create 4 hinges between the 5 blocks. It is a body to body relationship between bodies on bsolver1/Blocks. The bodies parameter is a list of body IDs and is a 1 to 1 mapping with the other bodies parameter. So, on constraints_between we are creating 4 versions of the same hinge between 0 and 1, 1 and 2, 2 and 3, and 3 and 4. The pivot points are how we connect the bodies. We are connecting the right side of the first body to the left side of the second body, using the size of box1 inside the Blocks COMP as the boundary. Finally, we add a hinge constraint to the left and right ends so that the bridge is held up. Because these constraints are not body to body, the far left and right bodies will be pinned to the world at that position, unable to move. As a result they will hold up all the other blocks.
COMP/bulletsolverCOMP/example7	COMP	bulletsolverCOMP	Bullet Solver	ball and chain	This example demonstrates Point to Point constraints on the Constraint COMP. We create a chain by instancing chain links (from a torus) on the Chain COMP in bsolver1. The chains are constrained together from end to end in between_links. Then the top link is constrained to the world in top_chain_link so the chain will not fall. At the other end, chain_to_ball constrains the Ball COMP in bsolver1 to the last chain link. The Ball is given an initial velocity so the behavior of the chain is immediately visible.
COMP/bulletsolverCOMP/example8	COMP	bulletsolverCOMP	Bullet Solver	car	This example demonstrates how a Constraint COMP can be used to create wheels. Click Start on bsolver1. Four wheels are instanced in the Wheels COMP in bsolver1, and four Constraint COMPs are used to attach the wheels to the Chassis COMP (front_left, front_right, back_left, back_right). Hinge constraints are used so the wheels will only rotate in the X axis. Initial velocity is given to the Chassis, and the wheels begin to roll along the ground. Wheels and Ground COMP are given rolling friction so that the car will eventually stop. If these are lowered then the car will move further.
COMP/bulletsolverCOMP/example9	COMP	bulletsolverCOMP	Bullet Solver	feedbacking	This example demonstrates a simple feedbacking network on the torus COMP in bsolver1. Everytime the 'Slow Down Torus' button is pressed, the Y velocity of the torus will be multiplied by 0.75, slowing it down. This is done by first grabbing the current velocity of the torus using the Bullet Solver CHOP. vel_ty (linear y velocity) is selected and a switch is exported with the button value. When it's pressed, math1 (which has 75% the velocity) will be used instead of select1, and this subsequently overrides the old velocity in merge1 and then null1 feedbacks the values into the Actor COMP. These feedback values will update the Actor COMP's physics data at the beginning of the next frame. So when the button is pressed, the next frame the Actor COMP will be updated with 75% of the velocity.
COMP/bulletsolverCOMP/example10	COMP	bulletsolverCOMP	Bullet Solver	driving car	This is an extension of the car example. User interaction is added using the feedbacking system. A runway is created for the car, and the car can be moved forward using the up arrow. When the up arrow is pressed 1000 linear is applied to the Chassis COMP in the x direction, and 250 torque is applied to Wheels COMP on the z axis. This feedbacking system is different than feedbacking1 because it doesn't require any physics info from the Actor COMP. It is not as much as a feedbacking loop, it is more one-directional. It only needs the IDs of the bodies and Actor COMP and the appropriately named force channels so it can be applied.
COMP/bulletsolverCOMP/example11	COMP	bulletsolverCOMP	Bullet Solver	concave vs convex	"""""""This example demonstrates the difference between a concave body and a convex one. In the concave Bullet Solver COMP, actor2's Collision Shape is Automatic, which means it will be created as a concave shape. Display Collision Shape is toggled on so you can see what is created. In the convex Bullet Solver COMP, actor2's Collision Shape is Convex Hull, meaning that the collision shape is no longer """"""""hollow"""""""" and as a result the ball will just bounce on the top. Note: only static bodies can be concave. For a dynamic body to be concave it must be composed of convex parts."""""""
COMP/bulletsolverCOMP/example12	COMP	bulletsolverCOMP	Bullet Solver	2D attraction	"""""""This examples demonstrates both a 2D simulation, and how the feedbacking system can be used to create an """"""""attraction"""""""" system. All this is done in bsolver1. In this example, the blocks are all attracted to their initial position. The slider is used to control the attraction. When the slider is at 0 the blocks will act as if there is no attraction, and just fall as normal. If the slider is at 1 then the blocks will be at their original position (in the default case a Q). The blocks are created using instancing on the blocks COMP in bsolver1. They are instanced from the letter Q through a SOP to CHOP. These values are then used as the initial positions of the blocks. The feedbacking system works as follows: 1. bulletsolver1 grabs the physics information from the blocks COMP. 2. select1 selects the transform (tx, ty, rz only because the simulation is 2D). A vector is created between the blocks current transform (from select1) and its original position recorded in null1 by subtracting null1 from select1 in math1. The range is then modified in math1 using the value from the slider. 3. select3 selects the current velocity of the blocks from the Bullet Solver CHOP. This value is scaled down using the range parameter in math4 and the slider. 4. The scaled current velocity in math4 and the velocity calculated in math1 are then added together in math2. This is the velocity we feedback to the blocks COMP. 5. First we have to merge bulletsolver1 (it has the body IDs and actor ID which are required for feedbacking) with the new velocity with replace first with last mode selected. to_feedback is then fed back into blocks. These will be the new velocities of the blocks at the next frame."""""""
COMP/bulletsolverCOMP/example13	COMP	bulletsolverCOMP	Bullet Solver	turbulence	This simple example demonstrates how forces can be used to simulate turbulence or other vector fields. In bsolver1, we have a group of instanced blocks from the Block COMP. We grab the current position of each body, and apply force to it based on its current position by using a Noise CHOP. This force is applied when null1 is fed back into Blocks.
COMP/bulletsolverCOMP/example14	COMP	bulletsolverCOMP	Bullet Solver	ccd	This example demonstrates the use of the Continuous Collision Detection toggle on the Actor COMP. In the simulation, Block_A in bsolver1 has Continuous Collision Detection enabled, while Block_B does not. In the simulation, Block_A is top block, and Block_B is the bottom one. The Pulse Force toggle will apply an impulse force to both blocks in the negative X direction. Block_B will clip through while Block_A will not. This is because continuous collision detection performs collision detection between an object's position at the start and end of the frame. This is in contrast to discrete collision detection, which is only performed at the beginning and end. Note: Continuous collision detection is not as performative as discrete collision detection, so it isn't always suitable. The Box is created with a Box SOP as the collision shape, but what is displayed/rendered is the same box with the front missing.
